"source_row_id","operation_id","date","account","counterparty","description","money_in","money_out","currency","article","project","cash_flow_line","pnl_line","balance_account","status"
"TBANK-202608-R001","DEMO-20260801-DOC-100001-CREDIT-1200000","2026-08-01","Основной счёт","ООО «Клиент Орион»","Оплата по учебному договору за проект Орион","1200000","0","RUB","Оплата от покупателя","Орион","Поступления от покупателей","Выручка по договорам подряда","Выручка","Готово"
"TBANK-202608-R002","DEMO-20260802-DOC-100002-CREDIT-800000","2026-08-02","Основной счёт","ООО «Клиент Вектор»","Оплата по учебному договору за проект Вектор","800000","0","RUB","Оплата от покупателя","Вектор","Поступления от покупателей","Выручка по договорам подряда","Выручка","Готово"
"TBANK-202608-R003","DEMO-20260803-DOC-100003-DEBIT-2500","2026-08-03","Основной счёт","Банк 1","Комиссия банка за расчётное обслуживание по учебному тарифу","0","2500","RUB","Банковское обслуживание","Общий","Банковское обслуживание","Расчетно-кассовое обслуживание","Операционные расходы","Готово"
"TBANK-202608-R004","DEMO-20260804-DOC-100004-DEBIT-95000","2026-08-04","Основной счёт","Учебный бюджет","Учебный налоговый платёж","0","95000","RUB","Налоги/взыскания","Общий","Прочие налоги и сборы","Прочие налоги, сборы, штрафы","Налоги и взыскания","Готово"
"TBANK-202608-R005","DEMO-20260805-DOC-100005-DEBIT-180000","2026-08-05","Основной счёт","ООО «Учебный арендодатель»","Аренда учебного офиса за август","0","180000","RUB","Аренда","Общий","Аренда помещений","Аренда офисов","Операционные расходы","Готово"
"TBANK-202608-R006","DEMO-20260806-DOC-100006-DEBIT-320000","2026-08-06","Основной счёт","Сотрудники ООО «Атлас»","Учебная выплата заработной платы без персональных данных","0","320000","RUB","Зарплата","Общий","Заработная плата","Окладные выплаты","Фонд оплаты труда","Готово"
"TBANK-202608-R008","DEMO-20260808-DOC-100008-DEBIT-250000","2026-08-08","Основной счёт","ООО «Учебный поставщик»","Учебный аванс за будущие услуги по проекту Орион","0","250000","RUB","Аванс поставщику","Орион","Авансы выданные","","Авансы выданные","Готово"
"TBANK-202608-R009","DEMO-20260809-DOC-100009-DEBIT-300000","2026-08-09","Основной счёт","ООО «Атлас»","Перевод на резервный учебный счёт","0","300000","RUB","Внутренний перевод","Общий","Не включать","","Денежный счёт","Готово"
"TBANK-202608-R010","DEMO-20260810-DOC-100010-CREDIT-300000","2026-08-10","Основной счёт","ООО «Клиент Вектор 2»","Учебный аванс клиента по проекту Вектор","300000","0","RUB","Аванс от покупателя","Вектор","Авансы полученные","","Авансы полученные","Готово"
"TBANK-202608-R011","DEMO-20260811-DOC-100011-CREDIT-1000000","2026-08-11","Основной счёт","Банк 1","Получение учебного займа DEMO-LOAN-2026","1000000","0","RUB","Получение кредита/займа","Общий","Получение кредитов и займов","","Займы","Готово"
"TBANK-202608-R012","DEMO-20260812-DOC-100012-DEBIT-200000","2026-08-12","Основной счёт","Банк 1","Погашение основной суммы учебного займа","0","200000","RUB","Погашение кредита/займа","Общий","Погашение кредитов и займов","","Займы","Готово"
"TBANK-202608-R013","DEMO-20260813-DOC-100013-DEBIT-35000","2026-08-13","Основной счёт","Банк 1","Уплата процентов по учебному займу","0","35000","RUB","Проценты уплаченные","Общий","Проценты уплаченные","Проценты по кредитам","Операционные расходы","Готово"
"TBANK-202608-R015","DEMO-20260818-DOC-100015-DEBIT-40000","2026-08-18","Основной счёт","ООО «Учебная связь»","Услуги связи и интернета за август","0","40000","RUB","Связь и интернет","Общий","Связь и интернет","Расходы на интернет","Операционные расходы","Готово"
"TBANK-202608-R016","DEMO-20260818-DOC-100016-DEBIT-40000","2026-08-18","Основной счёт","ООО «Учебный центр»","Обучение сотрудников по учебной программе","0","40000","RUB","Обучение","Общий","Прочие операционные расходы","Расходы на обучение","Операционные расходы","Готово"
"TBANK-202608-R017","DEMO-20260820-DOC-100017-DEBIT-75000","2026-08-20","Основной счёт","ООО «Учебное агентство»","Продвижение учебного проекта Вектор","0","75000","RUB","Маркетинг","Вектор","Маркетинг и реклама","Реклама в интернете","Маркетинг","Готово"
"TBANK-202608-R018","DEMO-20260821-DOC-100018-CREDIT-25000","2026-08-21","Основной счёт","ООО «Учебный поставщик»","Возврат части учебного аванса","25000","0","RUB","Возврат от поставщика","Орион","Возвраты от поставщиков","","Авансы выданные","Готово"
"TBANK-202608-R019","DEMO-20260822-DOC-100019-CREDIT-500000","2026-08-22","Основной счёт","ООО «Клиент Орион 2»","Учебный аванс клиента по проекту Орион","500000","0","RUB","Аванс от покупателя","Орион","Авансы полученные","","Авансы полученные","Готово"
"TBANK-202608-R020","DEMO-20260823-DOC-100020-DEBIT-60000","2026-08-23","Основной счёт","ООО «Учебные коммунальные услуги»","Коммунальные услуги за август","0","60000","RUB","Коммунальные услуги","Общий","Коммунальные услуги","Электричество","Операционные расходы","Готово"
