ID операции,Дата операции,Дата начисления,Тип записи,Тип операции,Поступление,Списание,Сумма ДДС,Сумма учета,Валюта,Счёт денежных средств,Статья операции,ДДС: раздел,ДДС: строка,ОПиУ: строка,Проект,ЦФО,Контрагент,ИНН,Назначение,НДС,Дт,Кт,Тип источника,ID источника,ID документа источника,Номер документа,Дата импорта,Статус автоматики,Требует уточнения,Комментарий,Балансовая статья
64A9F46660DDFB0E7219533C,03.08.2026,03.08.2026,Денежная операция,Поступление,780000.00,0,780000.00,780000.00,RUB,Основной счёт,Оплата от покупателя,Операционная деятельность,Поступления от покупателей,Выручка по договорам подряда,Орион,ЦФО «Атлас»,ООО «Орион Партнёр»,5406999103,Оплата по договору за проект Орион,0%,Основной счёт,Выручка,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000010,ТБ-0801,14.09.2026 13:27,Готово,Нет,,Выручка
848D08F3CB63756957FC6757,05.08.2026,05.08.2026,Денежная операция,Списание,0,165000.00,-165000.00,165000.00,RUB,Основной счёт,Подрядчики,Операционная деятельность,Оплата подрядчикам,Подрядные работы,Вектор,ЦФО «Атлас»,ООО «Вектор Строй»,5406999102,Оплата подрядчику за проект Вектор,0%,Подрядчики,Основной счёт,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000011,ТБ-0802,14.09.2026 13:27,Готово,Нет,,Подрядчики
87F28835A6BFC9EB9730D555,06.08.2026,06.08.2026,Денежная операция,Списание,0,2900.00,-2900.00,2900.00,RUB,Основной счёт,Банковское обслуживание,Операционная деятельность,Банковское обслуживание,Расчетно-кассовое обслуживание,Общий,ЦФО «Атлас»,ООО «Северный мост»,5406999101,Комиссия банка за расчетное обслуживание,0%,Операционные расходы,Основной счёт,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000012,ТБ-0803,14.09.2026 13:27,Готово,Нет,,Операционные расходы
883E3B3E45B14F0D252B5D2A,08.08.2026,08.08.2026,Денежная операция,Списание,0,125000.00,-125000.00,125000.00,RUB,Основной счёт,Аренда,Операционная деятельность,Аренда помещений,Аренда офисов,Общий,ЦФО «Атлас»,ООО «Деловой квартал»,5406999104,Аренда офиса за август,0%,Операционные расходы,Основной счёт,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000013,ТБ-0804,14.09.2026 13:27,Готово,Нет,,Операционные расходы
F14568E0342A209F911E62F9,12.08.2026,12.08.2026,Денежная операция,Списание,0,310000.00,-310000.00,310000.00,RUB,Основной счёт,Зарплата,Операционная деятельность,Заработная плата,Окладные выплаты,Общий,ЦФО «Атлас»,Зарплатный реестр,5406999105,Заработная плата за август,0%,Фонд оплаты труда,Основной счёт,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000014,ТБ-0805,14.09.2026 13:27,Готово,Нет,,Фонд оплаты труда
7AE28EA11B3A7314A0718580,16.08.2026,16.08.2026,Денежная операция,Поступление,420000.00,0,420000.00,420000.00,RUB,Основной счёт,Аванс от покупателя,Операционная деятельность,Авансы покупателей,,Вектор,ЦФО «Атлас»,ООО «Вектор Строй»,5406999102,Аванс по договору за проект Вектор,0%,Основной счёт,Авансы полученные,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000015,ТБ-0806,14.09.2026 13:27,Готово,Нет,,Авансы полученные
F31683A181A21800D2A16FAB,20.08.2026,20.08.2026,Денежная операция,Списание,0,87000.00,-87000.00,87000.00,RUB,Основной счёт,Материалы,Операционная деятельность,Оплата материалов,Строительные материалы,Орион,ЦФО «Атлас»,ООО «Комплект Плюс»,5406999111,Оплата материалов за проект Орион,0%,Материалы,Основной счёт,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000016,ТБ-0807,14.09.2026 13:27,Готово,Нет,,Материалы
461FEFBD77D5C5A5A1EA8587,27.08.2026,27.08.2026,Денежная операция,Поступление,600000.00,0,600000.00,600000.00,RUB,Основной счёт,Получение кредита/займа,Финансовая деятельность,Получение кредитов и займов,,Общий,ЦФО «Атлас»,АО «Капитал Банк»,5406999112,Получение кредита,0%,Основной счёт,Займы,TBANK_XLSX,TBANK-5F292C4B8A,TBANK-5F292C4B8A-R000017,ТБ-0808,14.09.2026 13:27,Готово,Нет,,Займы
BF226BED85C7CEB8A10A4656,02.08.2026,02.08.2026,Денежная операция,Списание,0,142000.00,-142000.00,142000.00,RUB,Дополнительный счёт,Подрядчики,Операционная деятельность,Оплата подрядчикам,Подрядные работы,Орион,ЦФО «Атлас»,ООО «Орион Партнёр»,5406999103,Оплата подрядчику за проект Орион,0%,Подрядчики,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000013,АБ-0801,14.09.2026 13:27,Готово,Нет,,Подрядчики
742A503C583E084EF451DABE,04.08.2026,04.08.2026,Денежная операция,Списание,0,95000.00,-95000.00,95000.00,RUB,Дополнительный счёт,Аванс поставщику,Операционная деятельность,Авансы поставщикам,,Вектор,ЦФО «Атлас»,ООО «Комплект Плюс»,5406999111,Аванс поставщику за проект Вектор,0%,Авансы выданные,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000014,АБ-0802,14.09.2026 13:27,Готово,Нет,,Авансы выданные
