"Номер счёта","Тип операции","Дата проведения","Номер документа","Валюта операции","Сумма в валюте счёта","Валюта счёта","Описание операции","Назначение платежа","Счет плательщика","ИНН плательщика","КПП плательщика","Наименование плательщика","БИК банка плательщика","Корр. счет плательщика","Счет получателя","Договор получателя","ИНН получателя","КПП получателя","Наименование получателя","БИК банка получателя","Корр. счет получателя","Счет контрагента","ИНН контрагента","Наименование контрагента","БИК банка контрагента","Дебет","Кредит"
"DEMO-ACCOUNT-0001","Кредит","01.08.2026","DOC-100001","643","1200000","643","Оплата консультационных услуг","Оплата по учебному договору за проект Орион","DEMO-COUNTER-ACC-01","DEMO-INN-01","DEMO-KPP-01","ООО «Клиент Орион»","DEMO-BIK-01","DEMO-CORR-01","DEMO-ACCOUNT-0001","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-01","DEMO-INN-01","ООО «Клиент Орион»","DEMO-BIK-01","0","1200000"
"DEMO-ACCOUNT-0001","Кредит","02.08.2026","DOC-100002","643","800000","643","Оплата консультационных услуг","Оплата по учебному договору за проект Вектор","DEMO-COUNTER-ACC-02","DEMO-INN-02","DEMO-KPP-02","ООО «Клиент Вектор»","DEMO-BIK-02","DEMO-CORR-02","DEMO-ACCOUNT-0001","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-02","DEMO-INN-02","ООО «Клиент Вектор»","DEMO-BIK-02","0","800000"
"DEMO-ACCOUNT-0001","Дебет","03.08.2026","DOC-100003","643","2500","643","Банковская комиссия","Комиссия банка за расчётное обслуживание по учебному тарифу","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-03","DEMO-2026","DEMO-INN-03","DEMO-KPP-03","Банк 1","DEMO-BIK-03","DEMO-CORR-03","DEMO-COUNTER-ACC-03","DEMO-INN-03","Банк 1","DEMO-BIK-03","2500","0"
"DEMO-ACCOUNT-0001","Дебет","04.08.2026","DOC-100004","643","95000","643","Уплата налога","Учебный налоговый платёж","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-04","DEMO-2026","DEMO-INN-04","DEMO-KPP-04","Учебный бюджет","DEMO-BIK-04","DEMO-CORR-04","DEMO-COUNTER-ACC-04","DEMO-INN-04","Учебный бюджет","DEMO-BIK-04","95000","0"
"DEMO-ACCOUNT-0001","Дебет","05.08.2026","DOC-100005","643","180000","643","Аренда","Аренда учебного офиса за август","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-05","DEMO-2026","DEMO-INN-05","DEMO-KPP-05","ООО «Учебный арендодатель»","DEMO-BIK-05","DEMO-CORR-05","DEMO-COUNTER-ACC-05","DEMO-INN-05","ООО «Учебный арендодатель»","DEMO-BIK-05","180000","0"
"DEMO-ACCOUNT-0001","Дебет","06.08.2026","DOC-100006","643","320000","643","Заработная плата","Учебная выплата заработной платы без персональных данных","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-06","DEMO-2026","DEMO-INN-06","DEMO-KPP-06","Сотрудники ООО «Атлас»","DEMO-BIK-06","DEMO-CORR-06","DEMO-COUNTER-ACC-06","DEMO-INN-06","Сотрудники ООО «Атлас»","DEMO-BIK-06","320000","0"
"DEMO-ACCOUNT-0001","Дебет","07.08.2026","DOC-100007","643","420000","643","Оплата подрядчику","Оплата подрядчику; проект в назначении не указан","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-07","DEMO-2026","DEMO-INN-07","DEMO-KPP-07","ООО «Учебный подрядчик»","DEMO-BIK-07","DEMO-CORR-07","DEMO-COUNTER-ACC-07","DEMO-INN-07","ООО «Учебный подрядчик»","DEMO-BIK-07","420000","0"
"DEMO-ACCOUNT-0001","Дебет","08.08.2026","DOC-100008","643","250000","643","Аванс поставщику","Учебный аванс за будущие услуги по проекту Орион","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-08","DEMO-2026","DEMO-INN-08","DEMO-KPP-08","ООО «Учебный поставщик»","DEMO-BIK-08","DEMO-CORR-08","DEMO-COUNTER-ACC-08","DEMO-INN-08","ООО «Учебный поставщик»","DEMO-BIK-08","250000","0"
"DEMO-ACCOUNT-0001","Дебет","09.08.2026","DOC-100009","643","300000","643","Внутренний перевод","Перевод на резервный учебный счёт","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-ACCOUNT-0002","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-02","DEMO-CORR-02","DEMO-ACCOUNT-0002","DEMO-INN-ATLAS","ООО «Атлас»","DEMO-BIK-02","300000","0"
"DEMO-ACCOUNT-0001","Кредит","10.08.2026","DOC-100010","643","300000","643","Аванс клиента","Учебный аванс клиента по проекту Вектор","DEMO-COUNTER-ACC-10","DEMO-INN-10","DEMO-KPP-10","ООО «Клиент Вектор 2»","DEMO-BIK-10","DEMO-CORR-10","DEMO-ACCOUNT-0001","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-10","DEMO-INN-10","ООО «Клиент Вектор 2»","DEMO-BIK-10","0","300000"
