control_id,control_name,scope,frequency,expected_result,tolerance,source,responsible,blocking,status,last_checked,actual_result,difference,comments
CTL-001,"Полнота источников","Отчётный период","Каждое закрытие","Все обязательные источники получены и проверены","0 обязательных источников со статусом кроме Проверен","registers/sources.csv","Ответственный финансист","Да","Не выполнено","","","",""
CTL-002,"Количество обработанных строк","Каждый источник","Каждая загрузка","Входные строки = обработанные строки + подтверждённые дубли + отклонённые строки","0 строк","Исходные файлы и журнал обработки","Ответственный финансист","Да","Не выполнено","","","",""
CTL-003,"Повторная загрузка без дублей","Журнал операций","Каждая повторная загрузка","Число новых строк при повторной загрузке того же набора = 0","0 новых строк","Журнал операций и идентификаторы источника","Ответственный финансист","Да","Не выполнено","","","",""
CTL-004,"Начальный остаток + поступления − выплаты = конечный остаток","Каждый денежный счёт","Каждое закрытие","Расчётный конечный остаток равен выписке или подтверждённому остатку","Согласно уровню существенности клиента","Банковские выписки и журнал операций","Ответственный финансист","Да","Не выполнено","","","",""
CTL-005,"Дебет = кредит","Журнал управленческих проводок","Каждое закрытие","Сумма дебета равна сумме кредита","0 в валюте управленческого учёта","Журнал проводок","Ответственный финансист","Да","Не выполнено","","","",""
CTL-006,"Активы = обязательства + капитал","Баланс","Каждое закрытие","Баланс сходится","0 в валюте управленческого учёта","Управленческий баланс","Ответственный финансист","Да","Не выполнено","","","",""
CTL-007,"Обороты отчётов совпадают с журналом","ОПУ Баланс ДДС","Каждое закрытие","Обороты каждой формы согласованы с журналом и расшифровками","Согласно уровню существенности клиента","Журнал операций и три формы отчётности","Ответственный финансист","Да","Не выполнено","","","",""
CTL-008,"Существенные показатели имеют источник","Отчётность и аналитика","Каждый выпуск отчёта","Для каждого существенного показателя указан источник или расчёт","0 показателей без подтверждения","Отчётность и список источников","Ответственный финансист","Да","Не выполнено","","","",""
CTL-009,"Периоды и единицы измерения не смешаны","Отчётность и аналитика","Каждый выпуск отчёта","У всех сравниваемых значений согласованы период валюта и единица измерения","0 несогласованных значений","Отчётность и настройки клиента","Ответственный финансист","Да","Не выполнено","","","",""
CTL-010,"Исключения не попали в утверждённую отчётность без решения","Существенные исключения","Каждое закрытие","Все включённые существенные исключения имеют связанное решение","0 исключений без решения","registers/exceptions.csv и registers/decisions.csv","Владелец финансовой функции","Да","Не выполнено","","","",""
CTL-011,"Дата обновления отчёта соответствует данным","Все отчёты","Каждый выпуск отчёта","Дата актуальности не позднее последнего включённого источника и соответствует покрытому периоду","0 несоответствий","Отчёты и registers/sources.csv","Ответственный финансист","Да","Не выполнено","","","",""
CTL-012,"Формулы и графики используют одинаковые значения","Отчёты и дашборды","Каждый выпуск отчёта","Точки графиков равны значениям итоговых формул за те же периоды","0 расхождений","Таблицы расчётов и графики","Ответственный финансист","Да","Не выполнено","","","",""
